first_name,last_name,grade,student_id,school,district,gender,teacher_email
Robert,Costa,K,CSV-0001,Import Test School,Import District,Other,demo@insight.edu
Olivia,Harris,7,CSV-0002,Import Test School,Import District,Other,demo@insight.edu
Penelope,Allen,4,CSV-0003,Import Test School,Import District,Other,demo@insight.edu
Anthony,Sousa,4,CSV-0004,Import Test School,Import District,F,demo@insight.edu
Owen,Rodriguez,4,CSV-0005,Import Test School,Import District,F,demo@insight.edu
Hudson,Hughes,5,CSV-0006,Import Test School,Import District,F,demo@insight.edu
Chloe,Johnson,2,CSV-0007,Import Test School,Import District,M,demo@insight.edu
Chloe,Walker,3,CSV-0008,Import Test School,Import District,Other,demo@insight.edu
Abigail,Jones,5,CSV-0009,Import Test School,Import District,Other,demo@insight.edu
Ling,Smith,1,CSV-0010,Import Test School,Import District,Other,demo@insight.edu
Ellie,Chen,PreK,CSV-0011,Import Test School,Import District,F,demo@insight.edu
Ava,Miller,4,CSV-0012,Import Test School,Import District,F,demo@insight.edu
Liam,Young,4,CSV-0013,Import Test School,Import District,F,demo@insight.edu
Ryan,Fitzgerald,7,CSV-0014,Import Test School,Import District,Other,demo@insight.edu
Camila,Ramos,4,CSV-0015,Import Test School,Import District,M,demo@insight.edu
Ping,Brooks,5,CSV-0016,Import Test School,Import District,F,demo@insight.edu
Luke,Sanchez,6,CSV-0017,Import Test School,Import District,F,demo@insight.edu
Ananya,Nelson,K,CSV-0018,Import Test School,Import District,F,demo@insight.edu
Yuki,Ferreira,4,CSV-0019,Import Test School,Import District,Other,demo@insight.edu
Santiago,Hernandez,PreK,CSV-0020,Import Test School,Import District,M,demo@insight.edu
Eleanor,Choi,1,CSV-0021,Import Test School,Import District,Other,demo@insight.edu
Hunter,Li,5,CSV-0022,Import Test School,Import District,Other,demo@insight.edu
Thomas,Carter,K,CSV-0023,Import Test School,Import District,Other,demo@insight.edu
Noah,Murphy,5,CSV-0024,Import Test School,Import District,M,demo@insight.edu
Sebastian,MacDonald,5,CSV-0025,Import Test School,Import District,Other,demo@insight.edu
Lucas,Kelly,8,CSV-0026,Import Test School,Import District,F,demo@insight.edu
Genesis,Silva,7,CSV-0027,Import Test School,Import District,Other,demo@insight.edu
Santiago,Almeida,1,CSV-0028,Import Test School,Import District,F,demo@insight.edu
Xavier,Kelly,K,CSV-0029,Import Test School,Import District,Other,demo@insight.edu
Priya,Thomas,6,CSV-0030,Import Test School,Import District,Other,demo@insight.edu
Aiden,Campbell,8,CSV-0031,Import Test School,Import District,Other,demo@insight.edu
Isaac,White,2,CSV-0032,Import Test School,Import District,M,demo@insight.edu
Elizabeth,Fraser,8,CSV-0033,Import Test School,Import District,Other,demo@insight.edu
Kinsley,Thomas,1,CSV-0034,Import Test School,Import District,M,demo@insight.edu
Yuki,Tanaka,6,CSV-0035,Import Test School,Import District,M,demo@insight.edu
Anna,Robertson,PreK,CSV-0036,Import Test School,Import District,Other,demo@insight.edu
Jun,Davis,1,CSV-0037,Import Test School,Import District,F,demo@insight.edu
Savannah,Thomas,7,CSV-0038,Import Test School,Import District,Other,demo@insight.edu
Jonathan,Brown,4,CSV-0039,Import Test School,Import District,F,demo@insight.edu
Leo,Rodriguez,8,CSV-0040,Import Test School,Import District,F,demo@insight.edu
Addison,Mitchell,K,CSV-0041,Import Test School,Import District,F,demo@insight.edu
Bao,Singh,3,CSV-0042,Import Test School,Import District,F,demo@insight.edu
Riku,Wilson,3,CSV-0043,Import Test School,Import District,Other,demo@insight.edu
Hana,Thomas,PreK,CSV-0044,Import Test School,Import District,F,demo@insight.edu
Nisha,Perez,5,CSV-0045,Import Test School,Import District,F,demo@insight.edu
Ananya,Campbell,PreK,CSV-0046,Import Test School,Import District,F,demo@insight.edu
Hudson,Nakamura,K,CSV-0047,Import Test School,Import District,Other,demo@insight.edu
Lucia,Jackson,PreK,CSV-0048,Import Test School,Import District,F,demo@insight.edu
Maya,Watson,2,CSV-0049,Import Test School,Import District,M,demo@insight.edu
Liam,Kim,PreK,CSV-0050,Import Test School,Import District,F,demo@insight.edu
